"Цена","Название","Владелец","Доступно"
480006600,"Избавление от кошмаров (264)","",5
299993100,"Сульфуронский молот (67)","",3
250009800,"Колун Крола (200)","",3
150005800,"Астральный разбойник (120)","",1
119990000,"Экзодарский посох жизни (120)","",2
100000800,"Дикий клинок (13)","",3
99995000,"Гаситель надежды (120)","",7
99990800,"Арканитовый защитник (63)","",1
74990100,"Клинок колдовства (100)","",9
55000100,"Мгновенный удар (100)","",3
55000000,"Сумерки (70)","",1
52950000,"Пылающий меч Тибу (65)","",7
50007700,"Перекованный клинок Героев (38)","",1
50000800,"Божественный клинок (65)","",1
49999900,"Пламенеющий кварцевый посох (115)","",1
43329900,"Длинный меч из оскверненной стали (105)","",4
40000000,"Клинок убийцы (24)","",1
38008000,"Костекрушитель из титановой стали (200)","",8
37775500,"Клинок ночи (100)","",4
35807600,"Клинок сумрака (200)","",4
35004100,"Пронзатель из титановой стали (200)","",7
34900800,"Пинта Ужаса (226)","",7
29998900,"Винтовка Ровэна с серебряными пулями (264)","",20
29998300,"Разрушитель из титановой стали (200)","",11
29782600,"Чародейский клинок из титановой стали (200)","",10
28865700,"Булава стража из титановой стали (200)","",6
25008100,"Супертворение Дирки (187)","",2
25002800,"Посох чаротворца (20)","",1
22220200,"Разоритель из черного железа (65)","",1
20007400,"Эрнестуэй 4000 (200)","",10
20003700,"Дакийский фалькс (26)","",1
20003400,"Поющий хрустальнокованный топор (100)","",4
19999900,"Астральный фазовый клинок (108)","",1
19978200,"Бронированный боевой дробовик (200)","",9
19900400,"Меч Джинн-су (41)","",2
19009400,"Мозгорез (200)","",3
14999900,"Большая железная удочка (30)","",5
9999900,"Ледяной страж (63)","",3
9995500,"Молот судьбы (100)","",1
9993200,"Знаменитая охотничья винтовка дона Сантоса (100)","",2
9992300,"Маятник Рока (44)","",1
8004600,"Ночной разрушитель (23)","",1
8004500,"Тенеклык (24)","",3
8000000,"Древний скипетр Су-Мин (100)","",7
5550000,"Разноцветный меч (45)","",3
5504900,"Посох Благословенного Провидца (23)","",1
4993000,"Потемневший широкий меч (99)","",1
4991300,"Коготь урагана (120)","",3
4990100,"Лопата фермера (7)","",3
4898800,"Фантомный клинок (49)","",16
4598200,"Саронитовая ударная палица ярости (175)","",2
4504400,"Деревянная рапира саронитовой справедливости (175)","",9
4503200,"Заточенный кобальтовый колун (159)","",14
4500000,"Жезл Оздоровления (68)","",1
3779400,"Посох Сплетения ветров (37)","",2
3503400,"Саронитовый чародейский клинок (175)","",4
3499900,"Пылающая рапира (56)","",4
3000100,"Бруннхильдарский гарпун (85)","",1
2999000,"Клык Сколла (187)","",1
2508200,"Молотковый перфоратор (45)","",1
2229700,"Ториевая винтовка (52)","",4
2229000,"Охранный посох (39)","",2
2229000,"Эбеновый ятаган (43)","",1
2227800,"Массивный короткий лук (35)","",3
2227700,"Длинный посох мага (58)","",1
2223700,"Сильванский короткий лук (49)","",3
2222200,"Полуночный топор (34)","",4
2220000,"Кобальтовый тесак свирепости (163)","",12
2220000,"Кинжал Анзака (93)","",1
2220000,"Лук верного прицела (41)","",1
