"Цена","Название","Владелец","Доступно"
299992900,"Сульфуронский молот (67)","",2
270009700,"Избавление от кошмаров (264)","",3
150000000,"Астральный разбойник (120)","",1
99995000,"Гаситель надежды (120)","",3
79990000,"Экзодарский посох жизни (120)","",3
61809300,"Длинный меч из оскверненной стали (105)","",5
60000000,"Пылающий меч Тибу (65)","",2
49999800,"Клинок колдовства (100)","",4
45555500,"Сумерки (70)","",1
39999900,"Клинок сумрака (200)","",1
39990000,"Клинок Ханны (64)","",1
38950700,"Пинта Ужаса (226)","",7
35000000,"Клинок ночи (100)","",1
34999900,"Древний скипетр Су-Мин (100)","",3
32509900,"Колун Крола (200)","",2
30000000,"Чародейский клинок из титановой стали (200)","",5
30000000,"Клинок убийцы (24)","",1
29996900,"Эрнестуэй 4000 (200)","",2
29990000,"Разрушитель из титановой стали (200)","",6
28888800,"Винтовка Ровэна с серебряными пулями (264)","",9
27008500,"Костекрушитель из титановой стали (200)","",8
25984800,"Булава стража из титановой стали (200)","",6
22222200,"Разоритель из черного железа (65)","",1
19999300,"Копатель (37)","",3
19999200,"Пронзатель из титановой стали (200)","",7
18009400,"Мозгорез (200)","",3
15000000,"Инкрустированный кристаллами нож (115)","",1
14990000,"Поющий хрустальнокованный топор (100)","",5
14990000,"Меч Головобоя (43)","",1
10508500,"Бронированный боевой дробовик (200)","",8
10000000,"Супертворение Дирки (187)","",2
10000000,"Пылающая рапира (56)","",1
9997900,"Молот судьбы (100)","",1
9997100,"Шахтерское кайло Лопаторукого (38)","",2
9990000,"Посох ярости природы (100)","",5
8889400,"Фантомный клинок (49)","",13
7750000,"Знаменитая охотничья винтовка дона Сантоса (100)","",4
7000000,"Тенекованный бушмейстер (43)","",1
5555500,"Ствольноклинковая удлиненная винтовка (120)","",1
5000000,"Меч Головобоя (43)","",1
5000000,"Разноцветный меч (45)","",6
4991300,"Коготь урагана (120)","",2
4990100,"Лопата фермера (7)","",2
4990000,"Меч Головобоя (43)","",1
4990000,"Меч Головобоя (43)","",1
4490000,"Заточенный кобальтовый колун (159)","",14
4460000,"Деревянная рапира саронитовой справедливости (175)","",16
4000000,"Посох Джордана (40)","",21
3500000,"Клык Сколла (187)","",1
3500000,"Саронитовый чародейский клинок (175)","",4
3490000,"Посох Сплетения ветров (37)","",1
2999900,"Ударный кинжал (108)","",4
2498200,"Саронитовая ударная палица ярости (175)","",5
2470000,"Кобальтовый тесак свирепости (163)","",11
2229000,"Ториевая винтовка (52)","",5
2228700,"Акробатский посох (34)","",1
2226200,"Большая палка (37)","",1
2225600,"Лук верного прицела (41)","",1
2220000,"Деревянный бумеранг (87)","",1
2220000,"Кинжал Анзака (93)","",1
2220000,"Эбеновый ятаган (43)","",1
2220000,"Эбеновый ятаган (43)","",1
2009900,"Свеча Зимнего Покрова (1)","",1
2002300,"Маятник Рока (44)","",2
2000200,"Закаленный меч Энти (200)","",1
2000100,"Метла фермера (6)","",2
1508300,"Саронитовый разбойничий кинжал (167)","",3
1507700,"Бритвенно-острый топор (59)","",1
1507600,"Бритвенно-острый топор (59)","",1
1502600,"Тяжелый кремниевый топор (48)","",1
1500000,"Большой меч из оскверненного железа (99)","",16
1440000,"Клык Сколла (187)","",2
1440000,"Клык Сколла (187)","",1
1439900,"Клык Сколла (187)","",2
1399400,"Дубинка Звездного сердца (108)","",3
1309600,"Молот неизвестного археолога (163)","",3
1305300,"Палаш лунной стали (36)","",4
1247300,"Секира из оскверненного железа (93)","",14
1205000,"Нож Каменного Свода (36)","",2
1202000,"Синий блистающий топор (44)","",2
1100000,"Серповидная секира тени (40)","",2
1006800,"Варварская секира (28)","",1
1005400,"Священный боевой меч (65)","",1
1004900,"Посох Благословенного Провидца (23)","",1
1001700,"Бруннхильдарский топор (85)","",2
1000000,"Камнешкурый кашалот (45)","",1
1000000,"Спинолом (56)","",1
999800,"Боевой посох Тайджи (99)","",1
999800,"Ослепительная мифриловая рапира (48)","",6
990800,"Божественный клинок (65)","",1
990100,"Пылающий золотой клинок (39)","",4
900000,"Астральный фазовый клинок (108)","",5
890000,"Массивный короткий лук (35)","",3
780000,"Монашеский посох (42)","",1
759900,"Астральное фазовое копье (108)","",5
739900,"Смертоносный саронитовый кортик (171)","",51
720000,"Сбалансированные ножи следопыта (200)","",38
710000,"Рунический драконий жезл Гвинета (174)","",22
690000,"Библиотечный нож для бумаги (200)","",20
650000,"Клинок ледяного тигра (40)","",8
622200,"Повергатель (187)","",64
577500,"Перекованный клинок Героев (38)","",214
570000,"Блистающий стальной кинжал (36)","",15
559900,"Палица из шкуры копытня (102)","",1
559900,"Палица из шкуры копытня (102)","",1
559700,"Клинок Крола (56)","",12
555400,"Демонический клинок (62)","",1
551600,"Скальпель-кровопускатель (46)","",1
538700,"Топор палача Новолуния (45)","",4
508900,"Взрывороговый лук (61)","",1
505100,"Арбалет лучника (99)","",1
504000,"Крепкая удочка (10)","",41
500500,"Тяжелый медный длинный меч (11)","",3
500000,"Длинный посох мага (58)","",1
500000,"Длинный посох мага (58)","",1
500000,"Клеймо землечерпа (36)","",2
490000,"Заостренный стилет (69)","",9
458500,"Посох магии стихий (61)","",4
449600,"Кортик Новолуния (45)","",15
440800,"Отлично сбалансированный арбалет (117)","",1
440800,"Отлично сбалансированный арбалет (117)","",1
435600,"Факел благородства (108)","",1
409900,"Посох Благородных (18)","",1
407000,"Прочная железная кувалда (31)","",2
406000,"Солнечное лезвие Алькора (63)","",3
400000,"Мраконосец (25)","",3
389300,"Огненная секира (40)","",7
359800,"Берцовый клинок (62)","",1
352600,"Позолоченный железный разрушитель (34)","",3
350000,"Кинжал кровавого удара (64)","",1
338500,"Астральный коготь (108)","",5
331900,"Бивень Бездны (108)","",7
330000,"Боевой коготь маг'харов (80)","",2
309800,"Берцовый клинок (62)","",1
309700,"Разрывающий сюрикен (178)","",1
309700,"Боевой посох Тайджи (99)","",1
309700,"Берцовый клинок (62)","",1
309000,"Острый как бритва разделочный нож (115)","",1
308900,"Топор рубаки (21)","",1
307900,"Кайло 5000 (45)","",1
307000,"Крутящиеся стальные топоры (40)","",8
305400,"Демонический клинок (62)","",1
305400,"Демонический клинок (62)","",1
305400,"Демонический клинок (62)","",1
305000,"Радужный молот (28)","",5
301800,"Лук архиудара (65)","",1
300000,"Лишний шип Намлака (200)","",52
300000,"Боевой посох Тайджи (99)","",1
300000,"Бронзовый боевой топор (27)","",16
300000,"Нефритовый змеиный клинок (35)","",7
300000,"Тяжелая бронзовая палица (25)","",4
298000,"Топор рубаки (21)","",2
290000,"Топор вождя (58)","",2
290000,"Топор вождя (58)","",1
290000,"Топор вождя (58)","",1
270000,"Элегантный фламберг (57)","",1
270000,"Элегантный фламберг (57)","",1
270000,"Элегантный фламберг (57)","",1
259000,"Бесшумная легкая палица (138)","",2
259000,"Крестовидный кинжал (28)","",1
259000,"Крестовидный кинжал (28)","",1
255900,"Призрачная боевая секира (108)","",1
255600,"Лук верного прицела (41)","",1
255500,"Дренейский боевой клинок (72)","",1
255500,"Кинжал Камнедробов (13)","",1
252900,"Надтреснутый молот (142)","",1
252800,"Скипетр гармонии (142)","",1
252700,"Посох мага Новолуния (45)","",12
251900,"Кровопроливец (32)","",5
250000,"Клинок вторжения (182)","",1
250000,"Клинок вторжения (182)","",1
250000,"Топор вождя (58)","",1
250000,"Нож воина (17)","",1
250000,"Тяжелый железный молот (30)","",2
250000,"Алмазный молот (25)","",1
250000,"Кровавая бритва (50)","",14
240000,"Винтовка Бернсайда (56)","",1
240000,"Винтовка Бернсайда (56)","",1
239800,"Заостренный мечелом Линдии (150)","",15
239000,"Величественный скипетр Мелии (154)","",10
238000,"Большой посох из кровавого дерева (158)","",13
237000,"Знамерез (154)","",10
234900,"Острие Эланора (146)","",27
232100,"Драконий зубодробитель (162)","",9
231000,"Увещеватель капитана Карвера (146)","",10
230600,"Грубый клинок Тенетопи (105)","",1
230600,"Грубый клинок Тенетопи (105)","",1
230000,"Винтовка Бернсайда (56)","",1
229900,"Винтовка Бернсайда (56)","",1
226400,"Прочный кобальтовый быстрый клинок (146)","",1
222200,"Аномальный посох Забры (162)","",11
221000,"Клеймор глубокой зимы (178)","",1
221000,"Клеймор глубокой зимы (178)","",1
221000,"Клеймор глубокой зимы (178)","",1
221000,"Клеймор глубокой зимы (178)","",1
219900,"Винтовка суровой зимы (182)","",1
219500,"Животворная ветвь Лолы (138)","",19
219000,"Охранный посох (39)","",1
217800,"Винтовка суровой зимы (182)","",1
217800,"Винтовка суровой зимы (182)","",1
217800,"Винтовка суровой зимы (182)","",1
213400,"Посох Солнцестояния (60)","",1
213100,"Боевой топор Алого ордена (182)","",1
213100,"Боевой топор Алого ордена (182)","",1
211000,"Боевой топор Алого ордена (182)","",1
209400,"Ударные когти (134)","",8
208300,"Боевой клинок клана Мок'Натал (111)","",1
208000,"Топор-ледокол (178)","",1
206500,"Длинный лук с перьями руха (162)","",15
205900,"Полуночный топор (34)","",5
203400,"Посох Солнцестояния (60)","",1
203400,"Посох Солнцестояния (60)","",1
203300,"Посох Солнцестояния (60)","",1
202700,"Шишковатый посох (134)","",5
202400,"Резец Камнедробителя (120)","",1
202400,"Резец Камнедробителя (120)","",1
202400,"Резец Камнедробителя (120)","",1
202400,"Резец Камнедробителя (120)","",1
200500,"Ослоп скалящегося пса (47)","",1
200000,"Шишковатый посох (134)","",1
200000,"Боевое копье Плети (182)","",1
200000,"Секач троллей (158)","",1
200000,"Секач троллей (158)","",1
200000,"Первобытное тесло (138)","",1
200000,"Хрустальный дренейский клинок (103)","",18
200000,"Рука волшебника (53)","",1
200000,"Пылающая игла (51)","",4
200000,"Механический мегасекач (29)","",1
200000,"Безжалостный нож (39)","",3
200000,"Кобальтовый крушитель (34)","",3
200000,"Топор шквала (47)","",15
199700,"Гравированный кинжал (174)","",1
198100,"Палица ужаса (102)","",1
198100,"Палица ужаса (102)","",1
191900,"Скипетр лидера (120)","",1
191400,"Шипастый большой посох (166)","",1
190000,"Мистический клык (174)","",1
190000,"Шипастый большой посох (166)","",1
190000,"Нерубская палица (174)","",1
190000,"Палица ужаса (102)","",1
190000,"Рикошетный мушкетон (48)","",1
190000,"Варварская секира (28)","",1
189200,"Жезл Сияющей звезды (57)","",1
189200,"Жезл Сияющей звезды (57)","",1
187500,"Топор-ледокол (178)","",1
187500,"Топор-ледокол (178)","",1
187500,"Топор-ледокол (178)","",1
183300,"Жезл Сияющей звезды (57)","",1
181400,"Сверкающий посох (158)","",1
181400,"Сверкающий посох (158)","",1
180500,"Меч из драконьего ребра (154)","",1
180100,"Топор лесоруба (158)","",1
180100,"Топор лесоруба (158)","",1
180000,"Первобытное тесло (138)","",1
180000,"Первобытное тесло (138)","",1
180000,"Сосредоточитель Сущности (115)","",14
180000,"Коса (81)","",1
180000,"Коса (81)","",1
180000,"Боевой посох Календы (111)","",1
180000,"Боевой посох Календы (111)","",1
180000,"Потемневший широкий меч (99)","",1
180000,"Потемневший широкий меч (99)","",1
180000,"Адамантитовый колун (105)","",32
180000,"Варварская секира (28)","",1
179900,"Сокрушитель из окаменелого железного дерева (158)","",24
179800,"Дробящий боевой топор (166)","",1
179800,"Дробящий боевой топор (166)","",1
179700,"Дробящий боевой топор (166)","",1
179700,"Дробящий боевой топор (166)","",1
178300,"Топор лесоруба (158)","",1
178300,"Топор лесоруба (158)","",1
178000,"Топор лесоруба (158)","",1
