"Цена","Название","Владелец","Доступно"
999990200,"Учебный меч (7)","",1
299992800,"Сульфуронский молот (67)","",2
269989700,"Избавление от кошмаров (264)","",5
149999900,"Астральный разбойник (120)","",2
99994800,"Гаситель надежды (120)","",4
79989900,"Экзодарский посох жизни (120)","",3
61506000,"Длинный меч из оскверненной стали (105)","",4
49999800,"Клинок колдовства (100)","",4
49990000,"Пылающий меч Тибу (65)","",3
39999900,"Клинок сумрака (200)","",1
39999900,"Разрушитель из титановой стали (200)","",2
39006500,"Клинок Ханны (64)","",2
38950700,"Пинта Ужаса (226)","",7
35006700,"Пламенеющий кварцевый посох (115)","",1
34999900,"Древний скипетр Су-Мин (100)","",2
32509900,"Колун Крола (200)","",2
30000000,"Клинок убийцы (24)","",1
29999900,"Чародейский клинок из титановой стали (200)","",7
29989700,"Эрнестуэй 4000 (200)","",3
26660100,"Ледяной страж (63)","",2
25984300,"Булава стража из титановой стали (200)","",4
25007900,"Костекрушитель из титановой стали (200)","",7
22990000,"Винтовка Ровэна с серебряными пулями (264)","",10
19999800,"Пронзатель из титановой стали (200)","",6
19999300,"Копатель (37)","",2
18009400,"Мозгорез (200)","",4
15000000,"Инкрустированный кристаллами нож (115)","",1
15000000,"Большая железная удочка (30)","",1
14990000,"Поющий хрустальнокованный топор (100)","",3
10000000,"Супертворение Дирки (187)","",2
10000000,"Пылающая рапира (56)","",2
9997900,"Молот судьбы (100)","",1
9997100,"Шахтерское кайло Лопаторукого (38)","",2
9990000,"Посох ярости природы (100)","",2
9509100,"Бронированный боевой дробовик (200)","",8
9004500,"Тенеклык (24)","",2
8879800,"Фантомный клинок (49)","",9
7769900,"Знаменитая охотничья винтовка дона Сантоса (100)","",3
5005000,"Клеймо землечерпа (36)","",1
5001500,"Древко Нгуни (108)","",2
4991300,"Коготь урагана (120)","",3
4990100,"Лопата фермера (7)","",2
4990000,"Меч Головобоя (43)","",1
4990000,"Меч Головобоя (43)","",1
4980000,"Меч Головобоя (43)","",2
4980000,"Меч Головобоя (43)","",1
4970000,"Меч Головобоя (43)","",1
4900000,"Разноцветный меч (45)","",3
4788700,"Посох Джордана (40)","",12
4480000,"Заточенный кобальтовый колун (159)","",13
4444400,"Ствольноклинковая удлиненная винтовка (120)","",1
4000000,"Свеча Зимнего Покрова (1)","",1
3490000,"Посох Сплетения ветров (37)","",1
3390100,"Пылающий золотой клинок (39)","",3
3001500,"Древко Нгуни (108)","",1
2990000,"Клык Сколла (187)","",1
2500000,"Апекситовая хрустальная палица (115)","",1
2460000,"Кобальтовый тесак свирепости (163)","",10
2208200,"Саронитовая ударная палица ярости (175)","",5
2180000,"Деревянная рапира саронитовой справедливости (175)","",16
2140000,"Полуночный топор (34)","",2
2009700,"Ториевая винтовка (52)","",1
2002300,"Маятник Рока (44)","",1
2000200,"Закаленный меч Энти (200)","",1
2000100,"Метла фермера (6)","",2
1806800,"Аномальный посох Забры (162)","",11
1508300,"Саронитовый разбойничий кинжал (167)","",3
1500100,"Бруннхильдарский гигантский топор (85)","",1
1399400,"Дубинка Звездного сердца (108)","",3
1305300,"Палаш лунной стали (36)","",4
1247300,"Секира из оскверненного железа (93)","",15
1202000,"Синий блистающий топор (44)","",2
1115400,"Обсидиановый колун (40)","",1
1100000,"Серповидная секира тени (40)","",2
1009500,"Молот неизвестного археолога (163)","",2
