"Цена","Название","Владелец","Доступно"
1800009800,"Колун Крола (200)","",1
300001000,"Избавление от кошмаров (264)","",6
289992700,"Сульфуронский молот (67)","",2
109990000,"Астральный разбойник (120)","",8
99995000,"Гаситель надежды (120)","",4
99990000,"Экзодарский посох жизни (120)","",3
74987300,"Клинок колдовства (100)","",4
70005500,"Клинок сумрака (200)","",2
55009900,"Мгновенный удар (100)","",3
55000000,"Сумерки (70)","",1
45000000,"Пылающий меч Тибу (65)","",6
40008800,"Клинок ночи (100)","",4
40000800,"Пинта Ужаса (226)","",7
38882500,"Длинный меч из оскверненной стали (105)","",4
38003100,"Костекрушитель из титановой стали (200)","",7
35006700,"Пламенеющий кварцевый посох (115)","",1
30000800,"Божественный клинок (65)","",1
29997000,"Разрушитель из титановой стали (200)","",7
29001000,"Пронзатель из титановой стали (200)","",5
25994200,"Булава стража из титановой стали (200)","",7
24009000,"Чародейский клинок из титановой стали (200)","",8
23454700,"Клеймо землечерпа (36)","",2
22222200,"Разоритель из черного железа (65)","",1
21200000,"Винтовка Ровэна с серебряными пулями (264)","",8
20000000,"Поющий хрустальнокованный топор (100)","",8
19999900,"Посох чаротворца (20)","",1
19999300,"Копатель (37)","",1
19949100,"Бронированный боевой дробовик (200)","",9
19009400,"Мозгорез (200)","",3
19000000,"Клинок Ханны (64)","",1
18006900,"Эрнестуэй 4000 (200)","",8
15000000,"Инкрустированный кристаллами нож (115)","",1
14919900,"Ледяной страж (63)","",3
9995500,"Молот судьбы (100)","",1
9000000,"Клык Сколла (187)","",4
9000000,"Клык Сколла (187)","",2
9000000,"Клык Сколла (187)","",1
8004600,"Ночной разрушитель (23)","",1
8000000,"Древний скипетр Су-Мин (100)","",3
7990800,"Арканитовый защитник (63)","",1
7009000,"Посох Джордана (40)","",10
7000000,"Посох ярости природы (100)","",3
6009900,"Большая железная удочка (30)","",2
5554900,"Посох Благословенного Провидца (23)","",1
5551300,"Дренейский легкий арбалет (71)","",1
5002300,"Маятник Рока (44)","",1
4991300,"Коготь урагана (120)","",3
4991100,"Винтовка стража Алдоров (70)","",1
4990400,"Поющий клинок Та-Киертан (57)","",1
4990100,"Лопата фермера (7)","",2
4500000,"Заточенный кобальтовый колун (159)","",4
4490000,"Кобальтовый тесак свирепости (163)","",5
4480000,"Деревянная рапира саронитовой справедливости (175)","",10
4450000,"Фантомный клинок (49)","",8
4408200,"Саронитовая ударная палица ярости (175)","",3
4205000,"Большой меч из оскверненного железа (99)","",18
4008400,"Супертворение Дирки (187)","",6
3999900,"Пылающая рапира (56)","",3
3500300,"Саронитовый чародейский клинок (175)","",7
3500000,"Посох Сплетения ветров (37)","",5
3399100,"Пылающий золотой клинок (39)","",2
