"Цена","Название","Владелец","Доступно"
420003300,"Боевой топор Алого ордена (182)","",1
299992100,"Избавление от кошмаров (264)","",6
279992200,"Сульфуронский молот (67)","",2
139809900,"Колун Крола (200)","",3
109000000,"Астральный разбойник (120)","",3
100002200,"BKP 2700 Головорез (26)","",1
99995000,"Гаситель надежды (120)","",6
79990000,"Экзодарский посох жизни (120)","",3
70000000,"Клинок колдовства (100)","",8
55009900,"Мгновенный удар (100)","",4
40000000,"Пылающий меч Тибу (65)","",7
39990000,"Древний скипетр Су-Мин (100)","",1
39800600,"Пинта Ужаса (226)","",11
38885500,"Длинный меч из оскверненной стали (105)","",3
35999400,"Костекрушитель из титановой стали (200)","",8
35001900,"Клинок сумрака (200)","",5
35000000,"Клинок ночи (100)","",9
30008900,"Винтовка Ровэна с серебряными пулями (264)","",10
29996100,"Разрушитель из титановой стали (200)","",7
25993000,"Булава стража из титановой стали (200)","",6
24999200,"Пронзатель из титановой стали (200)","",8
23454000,"Клеймо землечерпа (36)","",2
20007000,"Чародейский клинок из титановой стали (200)","",8
19999300,"Копатель (37)","",1
19009400,"Мозгорез (200)","",2
19000000,"Клинок Ханны (64)","",1
18006600,"Эрнестуэй 4000 (200)","",4
15009900,"Поющий хрустальнокованный топор (100)","",8
15000000,"Клык Сколла (187)","",1
15000000,"Инкрустированный кристаллами нож (115)","",1
14999900,"Ледяной страж (63)","",1
13008000,"Бронированный боевой дробовик (200)","",9
12227100,"Шахтерское кайло Лопаторукого (38)","",1
10007700,"Бритвенно-острый топор (59)","",1
10004500,"Тенеклык (24)","",2
9997700,"Бритвенно-острый топор (59)","",1
9995500,"Молот судьбы (100)","",2
9993200,"Знаменитая охотничья винтовка дона Сантоса (100)","",2
9990000,"Посох ярости природы (100)","",3
7990000,"Посох Джордана (40)","",13
7000000,"Разноцветный меч (45)","",5
5554900,"Посох Благословенного Провидца (23)","",1
5551300,"Дренейский легкий арбалет (71)","",1
5002300,"Маятник Рока (44)","",1
4991300,"Коготь урагана (120)","",3
4991100,"Винтовка стража Алдоров (70)","",1
4990100,"Лопата фермера (7)","",2
4508200,"Саронитовая ударная палица ярости (175)","",2
4480000,"Фантомный клинок (49)","",6
4448400,"Супертворение Дирки (187)","",2
4440000,"Клык Сколла (187)","",4
4440000,"Клык Сколла (187)","",3
4440000,"Клык Сколла (187)","",1
4400000,"Заточенный кобальтовый колун (159)","",14
4004000,"Большой меч из оскверненного железа (99)","",18
4000100,"Лук оруженосца (6)","",1
3999900,"Пылающая рапира (56)","",2
3990000,"Деревянная рапира саронитовой справедливости (175)","",15
3500100,"Саронитовый чародейский клинок (175)","",3
3490000,"Посох Сплетения ветров (37)","",3
3398100,"Пылающий золотой клинок (39)","",4
3006800,"Варварская секира (28)","",1
3006800,"Варварская секира (28)","",1
3000100,"Бруннхильдарский гарпун (85)","",1
2840000,"Заостренный стилет (69)","",1
2550000,"Кобальтовый тесак свирепости (163)","",12
2509800,"Арктический боевой молот (170)","",1
2229700,"Ториевая винтовка (52)","",5
2229000,"Акробатский посох (34)","",1
2227900,"Лук верного прицела (41)","",1
2220000,"Кинжал Анзака (93)","",1
2145900,"Полуночный топор (34)","",5
2000000,"Клинок Кузни Рока (54)","",2
2000000,"Кувалда Темношкуров (23)","",1
1990100,"Метла фермера (6)","",3
1893700,"Массивный короткий лук (35)","",3
1749700,"Молот неизвестного археолога (163)","",4
1508300,"Саронитовый разбойничий кинжал (167)","",3
1504700,"Нож Каменного Свода (36)","",1
1503300,"Саронитовый нож (171)","",5
1500000,"Бруннхильдарский топор (85)","",1
1499600,"Астральный фазовый клинок (108)","",5
1399600,"Дубинка Звездного сердца (108)","",3
1309600,"Сильванский короткий лук (49)","",3
1247300,"Секира из оскверненного железа (93)","",15
1206600,"Жезл бессмысленности (182)","",2
1202000,"Синий блистающий топор (44)","",3
1100000,"Снежное рубило (182)","",1
1100000,"Серповидная секира тени (40)","",2
1006800,"Варварская секира (28)","",1
1000000,"Боевой коготь маг'харов (80)","",2
1000000,"Боевой посох Тайджи (99)","",1
1000000,"Монашеский посох (42)","",1
999900,"Берцовый клинок (62)","",1
999900,"Свеча Зимнего Покрова (1)","",1
990000,"Тяжелый мифриловый топор (42)","",4
